ISBN	Title	Annotation	AR_Level	AR_Points	Author	Binding	Grade_Level	Illustrator	Interest_Level_Minimum	Interest_Level_Maximum	Lexile_0-1200	List_Price	Fiction_Nonfiction_F_NF	Page_Count	Publication_Date	Publisher	Reading_Level	Reading_Recovery_Level	Spanish_Y_N	Teachers_College	Word_Count	Guided_Reading_Level	Location	Genre	Condition	Unique_ID
9848494226	Gattu Baajaar Korte Jaay Level-5 Book-1				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318028
9848494336	Chhotto Murgi Chhaanaa				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428013
9848494944	Daainir Jaadumontro				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318055
9848494944	Daainir Jaadumontro				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	 - None - 	3204
	Tusir Aamgaachh				Limiyaa Dewaan	          						10.0000	F	16		Brac	3		N				 - None - 	 - None - 	New	308018
9789849125167	Aamraa khelaa kori				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228033
9789849125167	Aamraa khelaa kori				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228034
9789849113768	Aamaar Prothom Bornomaalaa				Jugol Sorkaar	          							NF						Y			None	 - None - 	 - None - 	Good	118030
9841900149	Baagher Paalki Chorhaa				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	5		N				 - None - 	 - None - 	New	508341
9841900149	Baagher Paalki Chorhaa				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	5		N				 - None - 	 - None - 	New	508340
9841900173	Graamer Naam Chougaachhee				Aabu Saaleh	          						5.0000	F	16		Brac	2		N				 - None - 	 - None - 	New	204304
9841900173	Graamer Naam Chougaachhee				Aabu Saaleh	          						5.0000	F	16		Brac	2		N				 - None - 	 - None - 	New	204302
9841900173	Graamer Naam Chougaachhee				Aabu Saaleh	          						5.0000	F	16		Brac	2		N				 - None - 	 - None - 	New	204303
9841900173	Graamer Naam Chougaachhee				Aabu Saaleh	          						5.0000	F	16		Brac	2		N				 - None - 	 - None - 	New	204301
	Golper Asor-4					          						10.0000	F	20		Brac	4		N				 - None - 	 - None - 	 - None - 	408014
8943000005498	Shebaar Raani O Hudhud Paakhi				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511024
	Mitur Shopno				Translated	          						10.0000	F	14		Brac	3		N				 - None - 	 - None - 	New	308402
9848494872	Baabaa Roj Deri Kore				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	General	Good	318047
	Laau Gorh Gorh Gaarhi					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208349
	Aadibaaseeder Peshaa					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	204504
9848494108	Aami Aar Baabaa Cake Baanaai Level-3 Book-1				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318026
9848494336	Chhotto Murgi Chhaanaa				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428016
9843000005344	Piprher Aatongko				Saniyasnain Khan	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511033
9841900963	Ikrir Ful				M. Aaslaam Liton	          						10.0000	F	16		Brac	4		N				 - None - 	 - None - 	New	408401
9789383202379	Krishna					          						5.0000	NF				1		N				 - None - 	 - None - 	Good	111001
	Maamaa O Aami Haate Jaai					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208423
9848494901	Aamaar Icchaa Kore...				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318051
9848494901	Aamaar Icchaa Kore...				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318049
9848494901	Aamaar Icchaa Kore...				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318050
9789843412300	Eso PoshuPaakhi Chini				Saabrinaa Islaam	          						5.0000	F			Ignite Publications Limited	1		N				 - None - 	 - None - 	Good	118019
9789843412300	Eso PoshuPaakhi Chini				Saabrinaa Islaam	          						5.0000	F			Ignite Publications Limited	1		N				 - None - 	 - None - 	Good	118020
9789843398512	PoshuPaakhir Jogot				Muniraa Saifuddin	          						5.0000	F			Ignite Publications Limited	1		N				 - None - 	 - None - 	Good	118018
9789849166528	Chhotoder Sorborno O Baenjonborno				Niraapod Sorkaar	          						5.0000	F			Boi Porhi	1		N				 - None - 	 - None - 	Good	118031
9789849113799	Chhottomonider Mojar Mojar Chhoraa				Jugol Sorkaar	          						5.0000	F			Children Books Centre	1		N				 - None - 	 - None - 	Good	118004
9789849113799	Chhottomonider Mojar Mojar Chhoraa				Jugol Sorkaar	          						5.0000	F			Children Books Centre	1		N				 - None - 	 - None - 	Good	118003
9848625038	Kaar Kaar Fotaa Achhe?				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318038
9848625038	Kaar Kaar Fotaa Achhe?				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318036
9848625038	Kaar Kaar Fotaa Achhe?				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318037
	Saataar Jaane Ke Ke					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208445
8943000005429	Ujaairer Gaadhaa				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511008
9848494012	Aamaar Haat. Level-1 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	General	Good	218015
	Mitaar Peyaaraa Khaawaa					          						5.0000	F	12		Brac	2		N				 - None - 	 - None - 	New	208435
9848625046	Raaino Gosol Kore				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318042
9848625046	Raaino Gosol Kore				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318041
9848494872	Baabaa Roj Deri Kore				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	General	Good	318048
9789843412904	Aami Jaa Bebohaar Kori				Muniraa Saifuddin	          						5.0000	F			Ignite Publications Limited	1		N				 - None - 	 - None - 	Good	118016
	Laal Murgi				Jeeshan Rahman	          						10.0000	F	12		Brac	2		N				 - None - 	 - None - 	New	308316
9789849234234	Chhorhamaalaa				Rizwanul Islam	          						10.0000	F	16		IKRIMKRI BOOK STUDIO	4		N				 - None - 	 - None - 	New	463001
9841900378	Pantaburi				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	6		N				 - None - 	 - None - 	New	603004
9841900378	Pantaburi				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	6		N				 - None - 	 - None - 	New	603001
9841900378	Pantaburi				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	6		N				 - None - 	 - None - 	New	603002
9841900378	Pantaburi				Upendrokishor Ray Chowdhury	          						10.0000	F	32		Brac	6		N				 - None - 	 - None - 	New	603003
	Prithhibeer Sobcheye Borho Pithaa				Limiyaa Dewaan	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	308308
984849431x	Saahosee Khorgosh Chhaanaa				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428007
	Laau Gorh Gorh Gaarhi					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208350
9848494191	Petuk Robot Level-4 Book-4				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318020
9843000007928	Allahr Aalo				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511022
	Golper Asor-2					          						10.0000	F	20		Brac	3		N				 - None - 	 - None - 	 - None - 	308003
	Shiyaaler Kaathhaal Khaawaa					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208363
9848494336	Chhotto Murgi Chhaanaa				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428014
984849420X	Ghorer Vetor Idur Level-4 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318023
9789384119010	Kali					          						5.0000	NF				1		N				 - None - 	 - None - 	Good	111006
98419010311	Mojaar Poraa				Sayed Nojmul Aabdaal	          						5.0000	F	8		Brac	5		N				 - None - 	 - None - 	New	505002
9848494285	Tumi Ki Amaar Maa				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428002
	Laal Paakhi Neel Paakhi					          						5.0000	F	12		Brac	2		N				 - None - 	 - None - 	New	308301
	Inchu					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208342
9848494234	Aamraa Somudro Dekhte Giyechhilaam Level-5 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		Y			None	 - None - 	 - None - 	Good	318029
9848494065	Aamraa Khelaa Kori Level-2 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318001
9848494065	Aamraa Khelaa Kori Level-2 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318003
9848494065	Aamraa Khelaa Kori Level-2 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318002
9843000005375	Naamaaj Kivaabe Porte Hoy				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	6		N				 - None - 	Religious	Good	611002
9848494218	Jhik Jhik Train Chole Level-4 Book-6				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318025
	Daadimaa O Aami				Farzana Ahmed	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208402
9789849113981	Baagher Upor Taag				Upendrokishor Ray Chowdhury	          						5.0000	F	16		Paathshaalaa	6		N				 - None - 	Fiction	New	663001
9848494960	Aamaar Notun Camera				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318052
	Chhotto Chhele Belaal				Limiyaa Dewaan & Jeeshaan Rahman	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	308021
	Meenaa ki School Chhere Dibe				Animation 	          						10.0000	F	26		Brac	4		N				 - None - 	 - None - 	New	403414
	Shaantir Ghor				Translation	          						10.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	308324
	Tusir Aamgaachh				Limiyaa Dewaan	          						10.0000	F	16		Brac	3		N				 - None - 	 - None - 	New	308014
9848494952	Khorgosh Chhaanaa Berhaate Jaabe				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318053
	Prithhibeer Sobcheye Borho Pithaa				Limiyaa Dewaan	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	308307
	Fuler Haasi					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208332
9848494116	Aamraa Saalaad Baanaate Paari Level-3 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		Y			None	 - None - 	 - None - 	Good	218026
9841901057	Hojjar Chhagol					          						5.0000	F	8		Brac	5		N				 - None - 	 - None - 	New	508302
9848494175	Doitto Onek Kaaj Kore Level-4 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		Y			None	 - None - 	 - None - 	Good	318012
9848494006	Aami Rong Korte Paari. Level-1 Book-4				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218016
9848494006	Aami Rong Korte Paari. Level-1 Book-4				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218017
9848494006	Aami Rong Korte Paari. Level-1 Book-4				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218018
9848494191	Petuk Robot Level-4 Book-4				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318017
9841900998	Kumrholota O Paakhi				Biprodaash Borhuaa	          						10.0000	F	31		Brac	6		N				 - None - 	 - None - 	New	608503
9841900998	Kumrholota O Paakhi				Biprodaash Borhuaa	          						10.0000	F	31		Brac	6		N				 - None - 	 - None - 	New	608502
9841900998	Kumrholota O Paakhi				Biprodaash Borhuaa	          						10.0000	F	31		Brac	6		N				 - None - 	 - None - 	New	608501
9848494183	Aami Ektaa Mojaar Sopno Dekhechhi Level-4 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318014
	Shiyaaler Kaathhaal Khaawaa					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208362
9789849125136	Aamio paari				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228028
9789849125136	Aamio paari				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228027
9841900289	Eeshoper Golpo				Sayed Nojmul Aabdaal	          						10.0000	F	24		Brac	5		N				 - None - 	 - None - 	New	508317
984862502	Doitter Khidhe Peyechhe				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	General	Good	318039
	Rubi O Saap					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208431
9848494269	Khaabaar Aashaay Kumir Level-5 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	4		Y			None	 - None - 	 - None - 	Good	418001
9841901057	Hojjar Chhagol					          						5.0000	F	8		Brac	5		N				 - None - 	 - None - 	New	508301
9781595721358	Rong Beronger Praani	Introduces the variety of color in the animal world while teaching the names of eleven colors through illustrations of animals ranging from the common green frog to the exotic purple bignose unicorn fish. Bengali and English bilingual text.			Wildsmith, Brian	          			P	1		5.0000	F	16	1/1/2009	Star Bright Books	1		N			  	 - None - 	 - None - 	Good	118007
	Lovee Birhaal					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208387
9789849125143	Aamaar Aachhe				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228026
9789849125143	Aamaar Aachhe				Nirapod Sorkaar	          						5.0000		12		Boi Porhi	2						 - None - 	 - None - 	New	228025
	Porichoy				Monjur Kaader  Aamin	          						5.0000	F	8		Brac	4		N				 - None - 	 - None - 	New	405401
8943000005429	Ujaairer Gaadhaa				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511007
9841901049	Dekchir Bachcha					          						5.0000	F	8		Brac	4		N				 - None - 	 - None - 	New	408301
9848494012	Aamaar Haat. Level-1 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	General	Good	218014
	Laal Murgi				Jeeshan Rahman	          						10.0000	F	12		Brac	2		N				 - None - 	 - None - 	New	308318
9848494116	Aamraa Saalaad Baanaate Paari Level-3 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		Y			None	 - None - 	 - None - 	Good	218025
984849491	Ekhon Khelaar Somoy!				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	3		N				 - None - 	General	Good	318054
	Murgigulo Gune Raakho				Animation 	          						10.0000	F	35		Brac	3		N				 - None - 	 - None - 	New	303407
9789849212799	Nodee Nebe				Kakoli Prodhan	          						5.0000	F	16		IKRIMKRI BOOK STUDIO	3		N				 - None - 	 - None - 	New	305411
	Porichoy				Monjur Kaader  Aamin	          						5.0000	F	8		Brac	4		N				 - None - 	 - None - 	New	405404
	Lovee Birhaal					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208390
9848494183	Aami Ektaa Mojaar Sopno Dekhechhi Level-4 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	General	Good	318015
	Saataar Jaane Ke Ke					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208446
	Dui Bon				Limiyaa Dewaan & Jeeshaan Rahman	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	308021
9843000005375	Naamaaj Kivaabe Porte Hoy				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	6		N				 - None - 	Religious	Good	611001
9841901022	Bondhur Khoje				Tonimaa Afroj	          						10.0000	F	12		Brac	5		N				 - None - 	 - None - 	New	508323
	Porichoy				Monjur Kaader  Aamin	          						5.0000	F	8		Brac	4		N				 - None - 	 - None - 	New	405403
	Haas Aar Murgi					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208379
	Shiyaaler Kaathhaal Khaawaa					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208364
9848494234	Aamraa Somudro Dekhte Giyechhilaam Level-5 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		Y			None	 - None - 	 - None - 	Good	318030
	Golper Asor-1					          						10.0000	F	16		Brac	2		N				 - None - 	 - None - 	 - None - 	208004
9841901065	Hojja O Chor					          						5.0000	F	8		Brac	4		N				 - None - 	 - None - 	New	408309
9841900394	Daasur Gaarhi				Md. Rofikul Islam	          						5.0000	F	28		Brac	5		N				 - None - 	 - None - 	New	508333
9841900394	Daasur Gaarhi				Md. Rofikul Islam	          						5.0000	F	28		Brac	5		N				 - None - 	 - None - 	New	508331
9841900394	Daasur Gaarhi				Md. Rofikul Islam	          						5.0000	F	28		Brac	5		N				 - None - 	 - None - 	New	508330
9841900394	Daasur Gaarhi				Md. Rofikul Islam	          						5.0000	F	28		Brac	5		N				 - None - 	 - None - 	New	508332
9848494311	Sobaai Mile Khelaa Kori				Saamsi Haasaan	          						5.0000		15		World of Children's Books Ltd 	4						 - None - 	General	New	428022
8943000006648	Prithibir Prothom Maanob				Saniyasnain Khan    	          							NF	24					Y			None	 - None - 	 - None - 	Good	511002
8943000006648	Prithibir Prothom Maanob				Saniyasnain Khan    	          							NF	24					Y			None	 - None - 	 - None - 	Good	511003
9848494049	Boloto Ki Dekhcho? Level-1 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218022
9848494049	Boloto Ki Dekhcho? Level-1 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218020
9848494049	Boloto Ki Dekhcho? Level-1 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218021
9848494049	Boloto Ki Dekhcho? Level-1 Book-5				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218019
	Golper Asor-3					          						10.0000	F	27		Brac	4		N				 - None - 	 - None - 	 - None - 	408001
9848625003	Milir Party				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218035
9848625003	Milir Party				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218034
9843000000539	Ek Oloukik Ghotonaa				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511029
	Chhorhaay Chhorhaay				Rhymes	          						5.0000	F	6		Brac	2		N				 - None - 	 - None - 	New	208411
8943000005368	Mohaanobi (S) Ebong Ondho Lokti				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511011
9848494073	Amaader Notun Baari Level-2 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318006
9848494073	Amaader Notun Baari Level-2 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318004
9848494073	Amaader Notun Baari Level-2 Book-3				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	3		N				 - None - 	 - None - 	Good	318005
9841900262	Nokol Raajaa				Md. Rofikul Islam	          						5.0000	F	24		Brac	4		N				 - None - 	 - None - 	New	408318
